Wavelength [nm],Rd [-],Tt [-]
503.481,0.26316,0.33103
503.934,0.26253,0.33166
504.387,0.2634,0.33177
504.839,0.26245,0.33221
505.292,0.26285,0.3328
505.745,0.26273,0.33308
506.197,0.26264,0.3337
506.65,0.26271,0.33408
507.102,0.26286,0.33415
507.555,0.26261,0.33467
508.007,0.26162,0.33432
508.46,0.2618,0.33515
508.912,0.26171,0.33462
509.364,0.26134,0.33447
509.817,0.26148,0.33544
510.269,0.2615,0.33631
510.721,0.26066,0.33575
511.174,0.26025,0.3364
511.626,0.2605,0.33731
512.078,0.26002,0.33722
512.531,0.25985,0.33701
512.983,0.25968,0.33782
513.435,0.25926,0.33682
513.887,0.25748,0.33757
514.339,0.25791,0.33727
514.791,0.25714,0.33744
515.243,0.25645,0.33769
515.695,0.25657,0.33689
516.147,0.25518,0.33687
516.599,0.25521,0.33733
517.051,0.2535,0.33619
517.503,0.25365,0.33675
517.955,0.25272,0.33616
518.407,0.25116,0.33742
518.859,0.25169,0.33666
519.311,0.2503,0.33546
519.762,0.25017,0.33575
520.214,0.24845,0.33457
520.666,0.24757,0.33476
521.118,0.24633,0.33499
521.569,0.24503,0.33428
522.021,0.2447,0.33468
522.473,0.24294,0.33258
522.924,0.24164,0.3336
523.376,0.24066,0.33291
523.827,0.23982,0.3321
524.279,0.23874,0.33138
524.73,0.23774,0.33094
525.182,0.23631,0.32984
525.633,0.23536,0.32973
526.085,0.23333,0.329
526.536,0.23239,0.32902
526.987,0.23062,0.32843
527.439,0.23006,0.32759
527.89,0.22931,0.3278
528.341,0.22826,0.32707
528.793,0.22606,0.3256
529.244,0.22484,0.32522
529.695,0.22401,0.32516
530.146,0.22242,0.32443
530.597,0.22236,0.3238
531.049,0.21963,0.32361
531.5,0.21928,0.32274
531.951,0.21852,0.32273
532.402,0.21812,0.32181
532.853,0.21603,0.32146
533.304,0.21626,0.32047
533.755,0.21477,0.32059
534.206,0.21377,0.32041
534.657,0.21281,0.31998
535.108,0.21173,0.31981
535.558,0.21122,0.32057
536.009,0.21095,0.31934
536.46,0.21057,0.31978
536.911,0.20927,0.31916
537.362,0.20991,0.31939
537.812,0.20807,0.31903
538.263,0.20786,0.31877
538.714,0.20783,0.31915
539.164,0.20668,0.31923
539.615,0.2073,0.31928
540.066,0.20724,0.31956
540.516,0.20635,0.31958
540.967,0.20639,0.32028
541.417,0.20644,0.31995
541.868,0.20721,0.32101
542.318,0.20737,0.32044
542.769,0.20775,0.32205
543.219,0.2074,0.32296
543.669,0.20732,0.32353
544.12,0.20756,0.32336
544.57,0.20857,0.325
545.02,0.20959,0.32436
545.471,0.21001,0.32608
545.921,0.20997,0.32712
546.371,0.21031,0.32769
546.821,0.21124,0.3289
547.272,0.21247,0.32928
547.722,0.21192,0.33058
548.172,0.21339,0.33135
548.622,0.21385,0.33253
549.072,0.2148,0.3329
549.522,0.2155,0.33548
549.972,0.21676,0.33642
550.422,0.21683,0.33553
550.872,0.21817,0.33711
551.322,0.21833,0.33853
551.772,0.21875,0.33983
552.222,0.21986,0.3392
552.671,0.22025,0.34058
553.121,0.22229,0.34216
553.571,0.22179,0.3423
554.021,0.22212,0.34314
554.471,0.22244,0.344
554.92,0.22268,0.34457
555.37,0.22359,0.34521
555.82,0.22354,0.34662
556.269,0.22401,0.34669
556.719,0.22441,0.34646
557.168,0.22478,0.34814
557.618,0.22444,0.34881
558.068,0.22467,0.34879
558.517,0.22418,0.34984
558.967,0.22496,0.34945
559.416,0.22399,0.349
559.865,0.22413,0.35002
560.315,0.22471,0.35001
560.764,0.22474,0.35054
561.213,0.22317,0.34932
561.663,0.22322,0.35056
562.112,0.22213,0.34971
562.561,0.22271,0.34962
563.011,0.22126,0.34994
563.46,0.22197,0.34968
563.909,0.22045,0.34981
564.358,0.22007,0.34951
564.807,0.21868,0.34896
565.256,0.2184,0.34768
565.705,0.21726,0.3486
566.154,0.21683,0.34805
566.603,0.21508,0.34682
567.052,0.21423,0.34613
567.501,0.21383,0.34628
567.95,0.21265,0.34572
568.399,0.21081,0.34452
568.848,0.21027,0.34496
569.297,0.20872,0.3435
569.746,0.2086,0.34249
570.195,0.20722,0.34269
570.643,0.20476,0.34215
571.092,0.20509,0.34124
571.541,0.20328,0.34102
571.989,0.20247,0.34085
572.438,0.20071,0.33961
572.887,0.20119,0.33931
573.335,0.20004,0.33876
573.784,0.19919,0.33877
574.232,0.19907,0.33925
574.681,0.19858,0.33885
575.129,0.19826,0.33936
575.578,0.19801,0.33878
576.026,0.19798,0.33912
576.475,0.19854,0.34035
576.923,0.19911,0.3415
577.372,0.19928,0.34169
577.82,0.19941,0.34216
578.268,0.20122,0.34402
578.716,0.20188,0.34524
579.165,0.20287,0.34673
579.613,0.20443,0.34677
580.061,0.206,0.34916
580.509,0.20751,0.35106
580.957,0.20973,0.3534
581.406,0.21135,0.35466
581.854,0.21239,0.3578
582.302,0.21552,0.35864
582.75,0.2177,0.36182
583.198,0.21972,0.36336
583.646,0.22235,0.36549
584.094,0.22423,0.36642
584.542,0.22647,0.3704
584.99,0.22811,0.37254
585.437,0.23023,0.37349
585.885,0.23267,0.37581
586.333,0.23494,0.37778
586.781,0.236,0.37984
587.229,0.23922,0.38185
587.676,0.24018,0.38319
588.124,0.24193,0.38494
588.572,0.24404,0.38707
589.019,0.24502,0.38835
589.467,0.24689,0.39023
589.915,0.24856,0.3914
590.362,0.24963,0.39305
590.81,0.25137,0.39333
591.257,0.2523,0.39487
591.705,0.25338,0.39618
592.152,0.25364,0.3971
592.6,0.25532,0.39899
593.047,0.25594,0.39915
593.494,0.25726,0.40073
593.942,0.25846,0.4021
594.389,0.25893,0.40225
594.836,0.25898,0.40293
595.284,0.26011,0.40397
595.731,0.25975,0.40444
596.178,0.26128,0.40542
596.625,0.26108,0.40598
597.072,0.26175,0.40646
597.52,0.26202,0.40685
597.967,0.26277,0.40756
598.414,0.26223,0.4084
598.861,0.26288,0.40748
599.308,0.26274,0.40924
599.755,0.26362,0.40987
600.202,0.26442,0.41012
600.649,0.264,0.41046
601.096,0.26365,0.41114
601.543,0.26406,0.41219
601.989,0.2642,0.41224
602.436,0.26402,0.41309
602.883,0.26457,0.41257
603.33,0.26477,0.41302
603.777,0.26467,0.41426
604.223,0.26428,0.41401
604.67,0.26523,0.41411
605.117,0.26468,0.41493
605.563,0.26394,0.41559
606.01,0.26477,0.41521
606.456,0.26496,0.41573
606.903,0.26493,0.41618
607.35,0.26447,0.41715
607.796,0.26481,0.41694
608.243,0.26481,0.41714
608.689,0.265,0.41784
609.135,0.2659,0.4187
609.582,0.26484,0.41909
610.028,0.2647,0.41846
610.474,0.26472,0.41942
610.921,0.26427,0.41923
611.367,0.26393,0.41894
611.813,0.26487,0.41971
612.26,0.26444,0.41973
612.706,0.26452,0.42027
613.152,0.26416,0.42085
613.598,0.26369,0.42025
614.044,0.26436,0.42118
614.49,0.26444,0.42204
614.936,0.26413,0.42174
615.382,0.26453,0.42142
615.828,0.26389,0.42144
616.274,0.26402,0.42203
616.72,0.26306,0.42296
617.166,0.26262,0.42237
617.612,0.26367,0.42283
618.058,0.26341,0.42313
618.504,0.26362,0.42428
618.95,0.26337,0.42322
619.395,0.26333,0.42364
619.841,0.26322,0.42315
620.287,0.26362,0.42502
620.733,0.26284,0.42537
621.178,0.26228,0.42531
621.624,0.26259,0.42431
622.069,0.26253,0.42533
622.515,0.26192,0.42626
622.961,0.26265,0.42682
623.406,0.26272,0.42606
623.852,0.26226,0.42601
624.297,0.26196,0.42686
624.743,0.26228,0.42715
625.188,0.26257,0.42755
625.633,0.26205,0.42739
626.079,0.26148,0.42837
626.524,0.26153,0.42731
626.969,0.26303,0.42785
627.415,0.26167,0.42855
627.86,0.26127,0.42924
628.305,0.2607,0.42849
628.75,0.26202,0.42875
629.196,0.25976,0.42948
629.641,0.26153,0.429
630.086,0.26072,0.42922
630.531,0.26138,0.4295
630.976,0.26014,0.43071
631.421,0.26077,0.43062
631.866,0.26111,0.43091
632.311,0.26007,0.4314
632.756,0.25995,0.43062
633.201,0.2598,0.43189
633.646,0.26039,0.43101
634.091,0.25939,0.43124
634.535,0.26012,0.43292
634.98,0.25997,0.43159
635.425,0.25953,0.43243
635.87,0.25988,0.43309
636.314,0.25956,0.43413
636.759,0.25978,0.43311
637.204,0.26,0.43363
637.648,0.2595,0.4332
638.093,0.25912,0.43421
638.538,0.26014,0.43468
638.982,0.25823,0.43471
639.427,0.25834,0.43461
639.871,0.25904,0.43458
640.316,0.25939,0.43556
640.76,0.25866,0.43518
641.205,0.25898,0.43497
641.649,0.259,0.43605
642.093,0.25834,0.4363
642.538,0.2584,0.4367
642.982,0.25883,0.43612
643.426,0.25805,0.43802
643.87,0.2581,0.43764
644.315,0.25711,0.43847
644.759,0.25933,0.4371
645.203,0.25786,0.43838
645.647,0.25742,0.43816
646.091,0.25738,0.4386
646.535,0.25812,0.43861
646.979,0.25761,0.43918
647.423,0.2581,0.43905
647.867,0.25763,0.4396
648.311,0.2577,0.43955
648.755,0.2569,0.43903
649.199,0.25764,0.44124
649.643,0.25657,0.44075
650.087,0.25702,0.44134
650.531,0.25674,0.44065
650.975,0.25734,0.44131
651.418,0.25591,0.44178
651.862,0.25725,0.44206
652.306,0.25685,0.44099
652.75,0.25734,0.44257
653.193,0.25697,0.44205
653.637,0.25646,0.44243
654.08,0.25633,0.44343
654.524,0.25578,0.44246
654.968,0.25595,0.44359
655.411,0.2559,0.44334
655.855,0.25667,0.44391
656.298,0.2557,0.44445
656.741,0.25659,0.44435
657.185,0.25571,0.44418
657.628,0.25584,0.44568
658.072,0.25507,0.44472
658.515,0.25576,0.44557
658.958,0.25499,0.44607
659.401,0.25532,0.44546
659.845,0.2557,0.44632
660.288,0.2543,0.44648
660.731,0.25431,0.4472
661.174,0.25497,0.44698
661.617,0.25462,0.44731
662.06,0.25489,0.44737
662.504,0.25445,0.4474
662.947,0.25495,0.44811
663.39,0.25412,0.44798
663.833,0.25431,0.44795
664.276,0.25424,0.44876
664.718,0.25409,0.44947
665.161,0.25498,0.44859
665.604,0.25343,0.45013
666.047,0.25398,0.44944
